qid,count,majority,label
www.kialo.com,4,,"[4, 5, 9, 12]"
www.debate.org,4,,"[5, 1, 4, 12]"
opentextbc.ca,4,,"[13, 0, 1, 10]"
www.nap.edu,4,,"[10, 1, 1, 10]"
www.forbes.com,4,,"[5, 2, 6, 0]"
www.brookings.edu,4,,"[0, 9, 1, 5]"
www.investopedia.com,4,,"[10, 10, 6, 6]"
www.whitehouse.gov,4,,"[10, 0, 1, 2]"
slatestarcodex.com,4,,"[1, 1, 3, 3]"
careynieuwhof.com,4,,"[2, 10, 12, 3]"
www.edge.org,4,,"[9, 8, 0, 5]"
www.corteidh.or.cr,4,,"[1, 3, 10, 5]"
www.goodreads.com,4,,"[10, 3, 7, 12]"
www.cato.org,4,,"[12, 1, 3, 5]"
crookedtimber.org,4,,"[1, 5, 10, 3]"
stackoverflow.com,4,,"[1, 10, 12, 11]"
www.bbc.co.uk,4,,"[1, 0, 1, 0]"
ies.ed.gov,4,,"[4, 13, 2, 10]"
www.ncjrs.gov,4,,"[1, 10, 5, 2]"
www.epi.org,4,,"[10, 2, 7, 5]"
blogs.lse.ac.uk,4,,"[4, 3, 5, 9]"
thedickinsonian.com,4,,"[4, 10, 5, 9]"
www.metafilter.com,4,,"[3, 3, 12, 12]"
www.imdb.com,4,,"[4, 7, 10, 12]"
metatalk.metafilter.com,4,,"[3, 3, 12, 12]"
sites.google.com,4,,"[5, 11, 0, 3]"
ctb.ku.edu,4,,"[5, 10, 5, 10]"
www.bellevuecollege.edu,4,,"[1, 8, 3, 10]"
www.verywellmind.com,4,,"[7, 1, 3, 4]"
www.smithsonianmag.com,4,,"[0, 4, 10, 9]"
www.livescience.com,4,,"[9, 7, 1, 8]"
transequality.org,4,,"[3, 3, 5, 5]"
healthydebate.ca,4,,"[1, 3, 0, 12]"
pro-essay-writer.com,4,,"[1, 10, 11, 3]"
www.verywellfamily.com,4,,"[10, 9, 5, 4]"
www.cbpp.org,4,,"[1, 6, 0, 5]"
repository.upenn.edu,4,,"[1, 10, 1, 10]"
silo.pub,3,,"[2, 1, 3]"
aceproject.org,3,,"[10, 2, 7]"
www.e-ir.info,4,,"[5, 10, 7, 3]"
blog.practicalethics.ox.ac.uk,3,,"[5, 10, 12]"
nymag.com,5,,"[0, 4, 0, 9, 9]"
foreignpolicy.com,4,,"[9, 0, 1, 10]"
www.britannica.com,3,,"[10, 0, 1]"
www.urban.org,4,,"[3, 5, 3, 5]"
www.uky.edu,4,,"[1, 2, 3, 10]"
www.foxnews.com,3,,"[0, 3, 5]"
www.wisegeek.com,3,,"[11, 9, 8]"
www.pewforum.org,4,,"[7, 5, 10, 1]"
theimaginationtree.com,3,,"[5, 3, 6]"
wisdomquotes.com,4,,"[12, 3, 9, 10]"
sitn.hms.harvard.edu,3,,"[2, 1, 8]"
www.pewsocialtrends.org,3,,"[9, 8, 0]"
www.inc.com,4,,"[0, 0, 6, 6]"
www.prevention.com,3,,"[8, 3, 1]"
www.uscis.gov,3,,"[1, 3, 2]"
www.drugs.com,3,,"[2, 8, 3]"
www.thetalko.com,3,,"[9, 2, 7]"
www.lifehack.org,3,,"[7, 12, 10]"
www.insider.com,3,,"[0, 11, 9]"
www.wired.com,3,,"[1, 8, 7]"
ourworldindata.org,3,,"[4, 0, 1]"
answersingenesis.org,3,,"[1, 5, 0]"
www.gatestoneinstitute.org,3,,"[12, 7, 0]"
www.europarl.europa.eu,3,,"[2, 10, 7]"
www.cambridge.org,3,,"[10, 9, 2]"
www.loc.gov,3,,"[2, 0, 9]"
www.health.harvard.edu,3,,"[8, 2, 10]"
ssir.org,3,,"[7, 0, 5]"
www.wsj.com,5,,"[6, 2, 0, 4, 3]"
www.econlib.org,3,,"[5, 3, 1]"
au.answers.yahoo.com,3,,"[12, 3, 9]"
prospect.org,4,,"[6, 7, 5, 0]"
www.counterpunch.org,5,,"[10, 0, 0, 5, 10]"
www.nexusmods.com,3,,"[9, 1, 10]"
www.sparknotes.com,3,,"[1, 5, 7]"
digitalcommons.georgiasouthern.edu,3,,"[10, 4, 9]"
www.self.com,3,,"[0, 7, 5]"
world-history-education-resources.com,3,,"[10, 5, 1]"
